Fold,Accuracy,Precision,Recall,F1 Score
1,0.9178175618073316,0.8614130434782609,0.74296875,0.7978187919463087
2,0.9184995737425405,0.8740671641791045,0.73203125,0.7967687074829932
3,0.9145634379263301,0.8588560885608856,0.7279124315871774,0.7879813796022006
4,0.9189972714870396,0.852014010507881,0.7607505863956215,0.8038000826104915
5,0.9143929058663028,0.8528610354223434,0.7341673182173573,0.7890756302521008


