Fold,Accuracy,Precision,Recall,F1 Score
1,0.8909487459105779,0.9106529209621993,0.8669574700109052,0.888268156424581
2,0.892257360959651,0.905341446923597,0.8761177753544166,0.8904899135446686
3,0.8872410032715377,0.9131952525017454,0.8558342420937841,0.8835847782031074
4,0.8878953107960742,0.9095095556067234,0.861504907306434,0.8848566308243727
5,0.8862595419847328,0.9069393382352942,0.8608505997818975,0.8832941703032338
